Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,534.900024,542.500000,527.549988,539.299988,537.374817,23728389
2020-11-06,538.750000,546.000000,531.200012,541.750000,539.816040,22256961
2020-11-09,550.000000,568.000000,548.250000,565.049988,563.032837,26041462
2020-11-10,572.000000,588.000000,568.250000,583.599976,581.516663,34935409
2020-11-11,579.849976,611.150024,576.400024,608.650024,606.477295,50289937
2020-11-12,601.950012,610.450012,588.799988,599.700012,597.559265,34244439
2020-11-13,595.000000,612.349976,584.299988,610.349976,608.171143,28813262
2020-11-14,613.950012,618.000000,605.549988,613.150024,610.961243,3211214
2020-11-17,613.150024,630.900024,609.000000,628.799988,626.555359,25960060
2020-11-18,625.000000,640.000000,622.049988,636.299988,634.028564,24928180
2020-11-19,619.000000,633.000000,609.049988,611.500000,609.317078,26525371
2020-11-20,615.000000,616.500000,592.000000,607.849976,605.680115,29556191
2020-11-23,610.950012,612.599976,592.700012,595.599976,593.473816,23728765
2020-11-24,603.000000,622.599976,600.549988,619.650024,617.437988,30742369
2020-11-25,625.000000,630.000000,596.000000,599.849976,597.708618,35115637
2020-11-26,602.250000,618.200012,594.049988,612.549988,610.363342,35476456
2020-11-27,612.000000,613.650024,598.750000,601.599976,599.452332,29921076
2020-12-01,611.000000,615.000000,596.200012,603.650024,601.495117,21285697
2020-12-02,607.000000,613.500000,601.250000,608.099976,605.929199,19070722
2020-12-03,610.150024,611.000000,600.349976,602.700012,600.548523,17746316
2020-12-04,606.599976,616.450012,603.200012,614.500000,612.306335,20019707
2020-12-07,616.950012,624.400024,612.450012,619.250000,617.039429,24658169
2020-12-08,619.099976,623.849976,611.599976,620.650024,618.434448,16005349
2020-12-09,619.150024,636.700012,619.000000,634.200012,631.936096,22000284
2020-12-10,624.500000,632.450012,620.349976,627.049988,624.811584,16126862
2020-12-11,626.349976,631.650024,608.349976,613.250000,611.060791,17950692
2020-12-14,616.000000,623.799988,612.400024,615.900024,613.701416,14567480
2020-12-15,615.750000,615.750000,602.299988,607.099976,604.932739,22311290
2020-12-16,613.549988,614.900024,604.799988,606.099976,603.936279,14860853
2020-12-17,607.250000,611.000000,603.200012,605.400024,603.238892,14598759
2020-12-18,604.400024,611.000000,596.500000,609.500000,607.324280,17301814
2020-12-21,605.250000,607.250000,573.400024,582.500000,580.420593,18580262
2020-12-22,585.000000,593.950012,568.400024,589.750000,587.644714,19896386
2020-12-23,589.000000,594.500000,584.299988,592.450012,590.335083,12247401
2020-12-24,595.000000,614.000000,594.150024,610.200012,608.021729,15488083
2020-12-28,614.000000,620.799988,614.000000,617.650024,615.445190,8444506
2020-12-29,620.700012,632.400024,618.599976,630.200012,627.950317,13765454
2020-12-30,632.250000,634.000000,618.200012,625.099976,622.868469,10262221
2020-12-31,622.400024,625.950012,616.000000,620.450012,618.235168,12306502
2021-01-01,620.250000,625.450012,617.549988,623.799988,621.573181,6047062
2021-01-04,627.799988,633.000000,621.299988,624.700012,622.469971,14068156
2021-01-05,618.000000,667.900024,618.000000,664.450012,662.078064,37973963
2021-01-06,662.000000,667.150024,649.150024,654.250000,651.914429,20829645
2021-01-07,659.000000,676.500000,659.000000,671.099976,668.704285,17887570
2021-01-08,678.000000,678.849976,668.500000,672.700012,670.298645,12272794
2021-01-11,676.000000,676.650024,660.150024,666.950012,664.569092,7928365
2021-01-12,661.299988,685.000000,659.250000,675.700012,673.287964,13301893
2021-01-13,676.000000,691.200012,669.049988,687.799988,685.344727,15645903
2021-01-14,678.500000,687.799988,674.650024,676.000000,673.586853,9337503
2021-01-15,677.599976,682.950012,669.599976,674.849976,672.440918,12339771
2021-01-18,674.450012,675.000000,651.150024,657.000000,654.654663,13460603
2021-01-19,663.549988,671.950012,659.750000,668.750000,666.362671,9010539
2021-01-20,664.000000,680.950012,664.000000,675.750000,673.337769,9980614
2021-01-21,680.750000,695.000000,669.750000,675.849976,673.437317,15849438
2021-01-22,670.000000,673.900024,638.799988,644.500000,642.199280,21392223
2021-01-25,654.000000,668.000000,639.349976,658.400024,656.049683,21325345
2021-01-27,659.950012,663.799988,627.400024,632.099976,629.843567,24462588
2021-01-28,622.000000,674.700012,616.000000,670.700012,668.305786,64303975
2021-01-29,671.000000,675.849976,653.000000,662.900024,660.533630,31273252
2021-02-01,665.000000,717.000000,654.349976,709.349976,706.817749,30648270
2021-02-02,719.250000,744.950012,704.200012,714.200012,711.650452,28703320
2021-02-03,720.000000,736.799988,715.549988,733.799988,731.180481,23541361
2021-02-04,730.000000,745.500000,720.599976,743.900024,741.244446,20490289
2021-02-05,749.000000,766.299988,717.000000,719.599976,717.031128,31121503
2021-02-08,726.000000,747.799988,726.000000,736.150024,733.522095,15662890
2021-02-09,735.750000,750.000000,726.200012,742.500000,739.849487,22307807
2021-02-10,741.549988,746.400024,726.099976,734.799988,732.176880,15140744
2021-02-11,731.000000,744.150024,731.000000,740.099976,737.458008,11897710
2021-02-12,735.500000,754.700012,734.549988,750.400024,747.721252,15668442
2021-02-15,759.900024,799.000000,753.900024,794.000000,791.165588,20648115
2021-02-16,799.000000,799.000000,767.000000,775.049988,772.283264,23968943
